State,Year,Population
AK,2003,701703.4889
AK,2004,704538.2222
AK,2005,707372.9556
AK,2006,710207.6889
AK,2007,713042.4222
AK,2008,715877.1556
AK,2009,718711.8889
AK,2010,713906
AK,2011,722038
AK,2012,730399
AK,2013,737045
AK,2014,736307
AK,2015,737547
AL,2003,4700035.911
AL,2004,4712696.111
AL,2005,4725356.311
AL,2006,4738016.511
AL,2007,4750676.711
AL,2008,4763336.911
AL,2009,4775997.111
AL,2010,4785448
AL,2011,4798834
AL,2012,4815564
AL,2013,4830460
AL,2014,4842481
AL,2015,4853160
AR,2003,2850432.033
AR,2004,2861275.667
AR,2005,2872119.3
AR,2006,2882962.933
AR,2007,2893806.567
AR,2008,2904650.2
AR,2009,2915493.833
AR,2010,2921978
AR,2011,2940407
AR,2012,2952109
AR,2013,2959549
AR,2014,2967726
AR,2015,2978407
AZ,2003,5700647.422
AZ,2004,5796611.889
AZ,2005,5892576.356
AZ,2006,5988540.822
AZ,2007,6084505.289
AZ,2008,6180469.756
AZ,2009,6276434.222
AZ,2010,6407774
AZ,2011,6473497
AZ,2012,6556629
AZ,2013,6634999
AZ,2014,6733840
AZ,2015,6833596
CA,2003,35362331.1
CA,2004,35652100.33
CA,2005,35941869.57
CA,2006,36231638.8
CA,2007,36521408.03
CA,2008,36811177.27
CA,2009,37100946.5
CA,2010,37320903
CA,2011,37641823
CA,2012,37960782
CA,2013,38280824
CA,2014,38625139
CA,2015,38953142
CO,2003,4458501.056
CO,2004,4540960.222
CO,2005,4623419.389
CO,2006,4705878.556
CO,2007,4788337.722
CO,2008,4870796.889
CO,2009,4953256.056
CO,2010,5048281
CO,2011,5121771
CO,2012,5193721
CO,2013,5270482
CO,2014,5351218
CO,2015,5452107
CT,2003,3604523.561
CT,2004,3602738.278
CT,2005,3600952.994
CT,2006,3599167.711
CT,2007,3597382.428
CT,2008,3595597.144
CT,2009,3593811.861
CT,2010,3579125
CT,2011,3588023
CT,2012,3594395
CT,2013,3594915
CT,2014,3594783
CT,2015,3587509
DC,2003,522331.7222
DC,2004,534769.5556
DC,2005,547207.3889
DC,2006,559645.2222
DC,2007,572083.0556
DC,2008,584520.8889
DC,2009,596958.7222
DC,2010,605085
DC,2011,619602
DC,2012,634725
DC,2013,650431
DC,2014,662513
DC,2015,675254
DE,2003,839918.4833
DE,2004,848342.1667
DE,2005,856765.85
DE,2006,865189.5333
DE,2007,873613.2167
DE,2008,882036.9
DE,2009,890460.5833
DE,2010,899595
DE,2011,907316
DE,2012,915188
DE,2013,923638
DE,2014,932596
DE,2015,941413
FL,2003,16545507.94
FL,2004,16857726.72
FL,2005,17169945.51
FL,2006,17482164.29
FL,2007,17794383.07
FL,2008,18106601.86
FL,2009,18418820.64
FL,2010,18845785
FL,2011,19093352
FL,2012,19326230
FL,2013,19563166
FL,2014,19860330
FL,2015,20224249
GA,2003,8982732.056
GA,2004,9084055.556
GA,2005,9185379.056
GA,2006,9286702.556
GA,2007,9388026.056
GA,2008,9489349.556
GA,2009,9590673.056
GA,2010,9711810
GA,2011,9801578
GA,2012,9901496
GA,2013,9973326
GA,2014,10069001
GA,2015,10181111
HI,2003,1325379.4
HI,2004,1332736
HI,2005,1340092.6
HI,2006,1347449.2
HI,2007,1354805.8
HI,2008,1362162.4
HI,2009,1369519
HI,2010,1363963
HI,2011,1379252
HI,2012,1394905
HI,2013,1408453
HI,2014,1414862
HI,2015,1422484
IA,2003,2959821.739
IA,2004,2973055.389
IA,2005,2986289.039
IA,2006,2999522.689
IA,2007,3012756.339
IA,2008,3025989.989
IA,2009,3039223.639
IA,2010,3050767
IA,2011,3066054
IA,2012,3076097
IA,2013,3093078
IA,2014,3109504
IA,2015,3121460
ID,2003,1396290.739
ID,2004,1418856.389
ID,2005,1441422.039
ID,2006,1463987.689
ID,2007,1486553.339
ID,2008,1509118.989
ID,2009,1531684.639
ID,2010,1570773
ID,2011,1583828
ID,2012,1595441
ID,2013,1611530
ID,2014,1631479
ID,2015,1651523
IL,2003,12989117.36
IL,2004,12975944.22
IL,2005,12962771.09
IL,2006,12949597.96
IL,2007,12936424.82
IL,2008,12923251.69
IL,2009,12910078.56
IL,2010,12840762
IL,2011,12867291
IL,2012,12884119
IL,2013,12898269
IL,2014,12888962
IL,2015,12864342
IN,2003,6319490.511
IN,2004,6343977.444
IN,2005,6368464.378
IN,2006,6392951.311
IN,2007,6417438.244
IN,2008,6441925.178
IN,2009,6466412.111
IN,2010,6490436
IN,2011,6516045
IN,2012,6537640
IN,2013,6568367
IN,2014,6593533
IN,2015,6608296
KS,2003,2820021.789
KS,2004,2826787.222
KS,2005,2833552.656
KS,2006,2840318.089
KS,2007,2847083.522
KS,2008,2853848.956
KS,2009,2860614.389
KS,2010,2858213
KS,2011,2869035
KS,2012,2885361
KS,2013,2893510
KS,2014,2900896
KS,2015,2909502
KY,2003,4254753.378
KY,2004,4269067.444
KY,2005,4283381.511
KY,2006,4297695.578
KY,2007,4312009.644
KY,2008,4326323.711
KY,2009,4340637.778
KY,2010,4348200
KY,2011,4369488
KY,2012,4386381
KY,2013,4404817
KY,2014,4414483
KY,2015,4425999
LA,2003,4456218.411
LA,2004,4471947.778
LA,2005,4487677.144
LA,2006,4503406.511
LA,2007,4519135.878
LA,2008,4534865.244
LA,2009,4550594.611
LA,2010,4544532
LA,2011,4575184
LA,2012,4600814
LA,2013,4624577
LA,2014,4644204
LA,2015,4664851
MA,2003,6286806.589
MA,2004,6328487.222
MA,2005,6370167.856
MA,2006,6411848.489
MA,2007,6453529.122
MA,2008,6495209.756
MA,2009,6536890.389
MA,2010,6566431
MA,2011,6613149
MA,2012,6663158
MA,2013,6713944
MA,2014,6763652
MA,2015,6795891
MD,2003,5596263.106
MD,2004,5627467.389
MD,2005,5658671.672
MD,2006,5689875.956
MD,2007,5721080.239
MD,2008,5752284.522
MD,2009,5783488.806
MD,2010,5788642
MD,2011,5838991
MD,2012,5887072
MD,2013,5923704
MD,2014,5958165
MD,2015,5986717
ME,2003,1317535.506
ME,2004,1318726.722
ME,2005,1319917.939
ME,2006,1321109.156
ME,2007,1322300.372
ME,2008,1323491.589
ME,2009,1324682.806
ME,2010,1327632
ME,2011,1328150
ME,2012,1327691
ME,2013,1328196
ME,2014,1330760
ME,2015,1328484
MI,2003,9765829.967
MI,2004,9780620.667
MI,2005,9795411.367
MI,2006,9810202.067
MI,2007,9824992.767
MI,2008,9839783.467
MI,2009,9854574.167
MI,2010,9877535
MI,2011,9881521
MI,2012,9896930
MI,2013,9913349
MI,2014,9930589
MI,2015,9932573
MN,2003,5044646.95
MN,2004,5081835.833
MN,2005,5119024.717
MN,2006,5156213.6
MN,2007,5193402.483
MN,2008,5230591.367
MN,2009,5267780.25
MN,2010,5310843
MN,2011,5345668
MN,2012,5376550
MN,2013,5413693
MN,2014,5451522
MN,2015,5482503
MO,2003,5878890.756
MO,2004,5895159.889
MO,2005,5911429.022
MO,2006,5927698.156
MO,2007,5943967.289
MO,2008,5960236.422
MO,2009,5976505.556
MO,2010,5995976
MO,2011,6009641
MO,2012,6024081
MO,2013,6040658
MO,2014,6056293
MO,2015,6071745
MS,2003,2965514.506
MS,2004,2967289.722
MS,2005,2969064.939
MS,2006,2970840.156
MS,2007,2972615.372
MS,2008,2974390.589
MS,2009,2976165.806
MS,2010,2970536
MS,2011,2978470
MS,2012,2983767
MS,2013,2988797
MS,2014,2990623
MS,2015,2988693
MT,2003,923833.8444
MT,2005,942003.7111
MT,2006,951088.6444
MT,2007,960173.5778
MT,2008,969258.5111
MT,2009,978343.4444
MT,2010,990722
MT,2011,997221
MT,2012,1003754
MT,2013,1013564
MT,2014,1021891
MT,2015,1030503
NC,2003,8840358.7
NC,2004,8941759.333
NC,2005,9043159.967
NC,2006,9144560.6
NC,2007,9245961.233
NC,2008,9347361.867
NC,2009,9448762.5
NC,2010,9574293
NC,2011,9656754
NC,2012,9749123
NC,2013,9843599
NC,2014,9933944
NC,2015,10033079
ND,2014,737382
NE,2004,1752289.556
NE,2005,1764978.456
NE,2006,1777667.356
NE,2007,1790356.256
NE,2008,1803045.156
NE,2009,1815734.056
NE,2010,1829536
NE,2011,1840538
NE,2012,1853323
NE,2013,1865414
NE,2014,1879522
NE,2015,1891507
NH,2003,1279761.311
NH,2004,1284682.778
NH,2005,1289604.244
NH,2006,1294525.711
NH,2007,1299447.178
NH,2008,1304368.644
NH,2009,1309290.111
NH,2010,1316777
NH,2011,1319815
NH,2012,1323962
NH,2013,1326408
NH,2014,1333223
NH,2015,1336294
NJ,2003,8733839.883
NJ,2004,8745313.833
NJ,2005,8756787.783
NJ,2006,8768261.733
NJ,2007,8779735.683
NJ,2008,8791209.633
NJ,2009,8802683.583
NJ,2010,8799624
NJ,2011,8827783
NJ,2012,8845483
NJ,2013,8858362
NJ,2014,8866780
NJ,2015,8870869
NM,2003,2056284.628
NM,2004,2059122.278
NM,2005,2061959.928
NM,2006,2064797.578
NM,2007,2067635.228
NM,2008,2070472.878
NM,2009,2073310.528
NM,2010,2064588
NM,2011,2080395
NM,2012,2087549
NM,2013,2092792
NM,2014,2090342
NM,2015,2090211
NV,2003,2371755.4
NV,2004,2414232.667
NV,2005,2456709.933
NV,2006,2499187.2
NV,2007,2541664.467
NV,2008,2584141.733
NV,2009,2626619
NV,2010,2702464
NV,2011,2712799
NV,2012,2744566
NV,2013,2776972
NV,2014,2819012
NV,2015,2868666
NY,2003,19391409.85
NY,2004,19408286.17
NY,2005,19425162.48
NY,2006,19442038.8
NY,2007,19458915.12
NY,2008,19475791.43
NY,2009,19492667.75
NY,2010,19400080
NY,2011,19498514
NY,2012,19574549
NY,2013,19628043
NY,2014,19656330
NY,2015,19661411
OH,2003,11386120.22
OH,2004,11405736.89
OH,2005,11425353.56
OH,2006,11444970.22
OH,2007,11464586.89
OH,2008,11484203.56
OH,2009,11503820.22
OH,2010,11539327
OH,2011,11543463
OH,2012,11548369
OH,2013,11576576
OH,2014,11602973
OH,2015,11617850
OK,2003,3603549.906
OK,2004,3627570.056
OK,2005,3651590.206
OK,2006,3675610.356
OK,2007,3699630.506
OK,2008,3723650.656
OK,2009,3747670.806
OK,2010,3759632
OK,2011,3787821
OK,2012,3818600
OK,2013,3853205
OK,2014,3878367
OK,2015,3909831
OR,2003,3495531.922
OR,2004,3540796.889
OR,2005,3586061.856
OR,2006,3631326.822
OR,2007,3676591.789
OR,2008,3721856.756
OR,2009,3767121.722
OR,2010,3837532
OR,2011,3871728
OR,2012,3899118
OR,2013,3922908
OR,2014,3964106
OR,2015,4016918
PA,2003,12669432.22
PA,2004,12678828.22
PA,2005,12688224.22
PA,2006,12697620.22
PA,2007,12707016.22
PA,2008,12716412.22
PA,2009,12725808.22
PA,2010,12711158
PA,2011,12744583
PA,2012,12766827
PA,2013,12776621
PA,2014,12789101
PA,2015,12785759
RI,2003,1050389.061
RI,2004,1050861.278
RI,2005,1051333.494
RI,2006,1051805.711
RI,2007,1052277.928
RI,2008,1052750.144
RI,2009,1053222.361
RI,2010,1053938
RI,2011,1053536
RI,2012,1054601
RI,2013,1055122
RI,2014,1056017
RI,2015,1056173
SC,2003,4207721.706
SC,2004,4265282.056
SC,2005,4322842.406
SC,2006,4380402.756
SC,2007,4437963.106
SC,2008,4495523.456
SC,2009,4553083.806
SC,2010,4635656
SC,2011,4671422
SC,2012,4717112
SC,2013,4764153
SC,2014,4823793
SC,2015,4892253
SD,2009,808193.8056
SD,2010,816165
SD,2013,842270
SD,2014,849088
SD,2015,853933
TN,2003,5986051.489
TN,2004,6037348.556
TN,2005,6088645.622
TN,2006,6139942.689
TN,2007,6191239.756
TN,2008,6242536.822
TN,2009,6293833.889
TN,2010,6355301
TN,2011,6397410
TN,2012,6451281
TN,2013,6493432
TN,2014,6540826
TN,2015,6590808
TX,2003,22119030.42
TX,2004,22561684.22
TX,2005,23004338.02
TX,2006,23446991.82
TX,2007,23889645.62
TX,2008,24332299.42
TX,2009,24774953.22
TX,2010,25242679
TX,2011,25646227
TX,2012,26089620
TX,2013,26489464
TX,2014,26977142
TX,2015,27486814
UT,2003,2425311.133
UT,2004,2473188.667
UT,2005,2521066.2
UT,2006,2568943.733
UT,2007,2616821.267
UT,2008,2664698.8
UT,2009,2712576.333
UT,2010,2775334
UT,2011,2814216
UT,2012,2853467
UT,2013,2897927
UT,2014,2937399
UT,2015,2982497
VA,2003,7626582.3
VA,2004,7687107.667
VA,2005,7747633.033
VA,2006,7808158.4
VA,2007,7868683.767
VA,2008,7929209.133
VA,2009,7989734.5
VA,2010,8023680
VA,2011,8100469
VA,2012,8185229
VA,2013,8253053
VA,2014,8312076
VA,2015,8362907
VT,2006,627095.9778
VT,2007,626903.6611
VT,2011,626979
VT,2012,626063
VT,2013,626212
VT,2014,625218
VT,2015,625197
WA,2003,6001619.578
WA,2004,6101391.778
WA,2005,6201163.978
WA,2006,6300936.178
WA,2007,6400708.378
WA,2008,6500480.578
WA,2009,6600252.778
WA,2010,6742902
WA,2011,6821655
WA,2012,6892876
WA,2013,6962906
WA,2014,7052439
WA,2015,7163543
WI,2003,5587100.711
WI,2004,5601849.111
WI,2005,5616597.511
WI,2006,5631345.911
WI,2007,5646094.311
WI,2008,5660842.711
WI,2009,5675591.111
WI,2010,5690479
WI,2011,5704755
WI,2012,5719855
WI,2013,5736952
WI,2014,5751974
WI,2015,5761406
WV,2003,1909283.272
WV,2004,1903047.389
WV,2005,1896811.506
WV,2006,1890575.622
WV,2007,1884339.739
WV,2008,1878103.856
WV,2009,1871867.972
WV,2010,1854214
WV,2011,1856074
WV,2012,1856764
WV,2013,1853873
WV,2014,1849467
WV,2015,1841996
WY,2007,565128.8278
WY,2009,568719.8611
WY,2010,564483
WY,2012,576270
WY,2013,582123
WY,2014,582548
WY,2015,585668
