,County,Year,State,QUANTITY,MME,Deaths
0,ALACHUA,2006,FL,54294.0,82596.6186877293,
1,ALACHUA,2007,FL,56118.0,95259.6279767931,17.0
2,ALACHUA,2008,FL,64869.0,114675.2219217685,
3,ALACHUA,2009,FL,73351.0,141281.0481854313,15.0
4,ALACHUA,2010,FL,74339.0,150910.7858758919,15.0
5,ALACHUA,2011,FL,75170.0,145750.68089929313,14.0
6,ALACHUA,2012,FL,64830.0,127727.613021565,14.0
7,BAKER,2006,FL,8450.0,11900.178637500152,
8,BAKER,2007,FL,11144.0,13793.788183225113,
9,BAKER,2008,FL,11884.0,15651.32215422517,
10,BAKER,2009,FL,13641.0,19165.96729500018,
11,BAKER,2010,FL,17082.0,29821.453215000125,
12,BAKER,2011,FL,17866.0,32777.553120000026,
13,BAKER,2012,FL,13116.0,21659.46165000021,
14,BAY,2006,FL,50655.0,61998.10247207856,
15,BAY,2007,FL,46572.0,61255.85799926616,
16,BAY,2008,FL,49160.0,65665.01292126594,
17,BAY,2009,FL,53031.0,68131.16719294015,
18,BAY,2010,FL,60871.0,73912.3022531658,
19,BAY,2011,FL,62817.0,73505.84484769049,
20,BAY,2012,FL,68251.0,73272.65335132717,
21,BRADFORD,2006,FL,8450.0,13424.830894900231,
22,BRADFORD,2007,FL,9861.0,15854.865475125225,
23,BRADFORD,2008,FL,10934.0,17501.063683500106,
24,BRADFORD,2009,FL,12452.0,21250.949666812667,
25,BRADFORD,2010,FL,14384.0,26551.078983862728,
26,BRADFORD,2011,FL,12075.0,21271.099192500278,
27,BRADFORD,2012,FL,10056.0,16872.471022500224,
28,BREVARD,2006,FL,121039.0,201186.1534030964,98.0
29,BREVARD,2007,FL,143028.0,246505.6839382635,86.0
30,BREVARD,2008,FL,169937.0,317947.5992638272,121.0
31,BREVARD,2009,FL,183556.0,365366.2497193953,135.0
32,BREVARD,2010,FL,226565.0,508840.97649451304,135.0
33,BREVARD,2011,FL,219692.0,481720.1499038084,123.0
34,BREVARD,2012,FL,182934.0,363107.37734239077,113.0
35,BROWARD,2006,FL,453388.0,1222607.3896553789,249.0
36,BROWARD,2007,FL,593627.0,1720337.481720641,226.0
37,BROWARD,2008,FL,702946.0,2180537.4886382525,313.0
38,BROWARD,2009,FL,825594.0,2584508.114014747,305.0
39,BROWARD,2010,FL,949190.0,3026736.8445831947,262.0
40,BROWARD,2011,FL,578276.0,1492503.4476547767,233.0
41,BROWARD,2012,FL,376205.0,809178.9096921141,228.0
42,CALHOUN,2006,FL,1700.0,1851.9058230000117,
43,CALHOUN,2007,FL,1622.0,2021.5322535000098,
44,CALHOUN,2008,FL,1760.0,2225.156550000013,
45,CALHOUN,2009,FL,1925.0,2580.2354700000137,
46,CALHOUN,2010,FL,2126.0,2722.4359650000147,
47,CALHOUN,2011,FL,1932.0,2810.688731362515,
48,CALHOUN,2012,FL,1944.0,2793.381480000016,
49,CHARLOTTE,2006,FL,42312.0,82123.59715794155,
50,CHARLOTTE,2007,FL,46668.0,103366.66686720558,
51,CHARLOTTE,2008,FL,57171.0,142308.39840053048,
52,CHARLOTTE,2009,FL,69064.0,191565.34862749267,
53,CHARLOTTE,2010,FL,81085.0,230654.24658953073,
54,CHARLOTTE,2011,FL,77723.0,207165.206288144,1.0
55,CHARLOTTE,2012,FL,54899.0,120917.42719837994,
56,CITRUS,2006,FL,34227.0,49646.89102934089,23.0
57,CITRUS,2007,FL,38276.0,58420.50957311638,17.0
58,CITRUS,2008,FL,41632.0,71761.41768466689,25.0
59,CITRUS,2009,FL,45156.0,81649.55125245466,19.0
60,CITRUS,2010,FL,54855.0,111738.27332779265,27.0
61,CITRUS,2011,FL,70606.0,148717.2534045444,29.0
62,CITRUS,2012,FL,51717.0,101576.39330385461,37.0
63,CLAY,2006,FL,46009.0,69327.28997720485,15.0
64,CLAY,2007,FL,52861.0,85815.94069483093,26.0
65,CLAY,2008,FL,59150.0,98532.92591602,19.0
66,CLAY,2009,FL,67219.0,125011.3671661208,29.0
67,CLAY,2010,FL,73312.0,144996.73572807058,2.0
68,CLAY,2011,FL,75101.0,149491.52033715992,23.0
69,CLAY,2012,FL,73326.0,134424.40624451957,28.0
70,COLLIER,2006,FL,53223.0,107528.68073415474,43.0
71,COLLIER,2007,FL,59638.0,129910.31275693116,38.0
72,COLLIER,2008,FL,65763.0,147472.3473860064,18.0
73,COLLIER,2009,FL,81749.0,202995.69626767907,54.0
74,COLLIER,2010,FL,92949.0,237663.7797535899,36.0
75,COLLIER,2011,FL,90667.0,198903.37525609313,41.0
76,COLLIER,2012,FL,68131.0,141917.0842426926,31.0
77,COLUMBIA,2006,FL,15559.0,27550.681708588032,
78,COLUMBIA,2007,FL,17028.0,30011.436168013053,
79,COLUMBIA,2008,FL,20635.0,37731.01713781312,1.0
80,COLUMBIA,2009,FL,22076.0,40150.09677022534,
81,COLUMBIA,2010,FL,27460.0,54609.82727294974,17.0
82,COLUMBIA,2011,FL,25775.0,50996.45302499963,
83,COLUMBIA,2012,FL,24254.0,49737.84482999941,16.0
84,DE SOTO,2006,FL,4940.0,7179.580011500067,
85,DE SOTO,2007,FL,5333.0,7726.090771792575,
86,DE SOTO,2008,FL,5340.0,7953.604365000078,
87,DE SOTO,2009,FL,5307.0,9826.920240000087,
88,DE SOTO,2010,FL,6685.0,13087.621237500123,
89,DE SOTO,2011,FL,8166.0,18280.029405000176,
90,DE SOTO,2012,FL,7784.0,16695.973792500132,
91,DIXIE,2006,FL,1464.0,2952.7461250000056,
92,DIXIE,2007,FL,1580.0,3098.6997413625013,
93,DIXIE,2008,FL,1634.0,3247.38976500001,
94,DIXIE,2009,FL,1555.0,2874.669041362513,
95,DIXIE,2010,FL,1417.0,2657.110350000012,
96,DIXIE,2011,FL,1305.0,2559.3821700000085,
97,DIXIE,2012,FL,1550.0,3326.242594312511,
98,DUVAL,2006,FL,196107.0,293452.9754727002,146.0
99,DUVAL,2007,FL,232966.0,344954.36544153484,140.0
100,DUVAL,2008,FL,242406.0,408809.255086162,108.0
101,DUVAL,2009,FL,284299.0,534398.118650884,137.0
102,DUVAL,2010,FL,360285.0,765000.2969470624,38.0
103,DUVAL,2011,FL,359950.0,659029.698137702,147.0
104,DUVAL,2012,FL,322712.0,555328.0796860629,30.0
105,ESCAMBIA,2006,FL,63765.0,96186.44732702237,45.0
106,ESCAMBIA,2007,FL,74727.0,113832.92120254097,31.0
107,ESCAMBIA,2008,FL,75449.0,116136.84399340067,28.0
108,ESCAMBIA,2009,FL,80002.0,127790.39184473806,16.0
109,ESCAMBIA,2010,FL,92828.0,156708.2074941154,25.0
110,ESCAMBIA,2011,FL,89697.0,146310.74382428935,29.0
111,ESCAMBIA,2012,FL,77479.0,129016.23428401133,25.0
112,FLAGLER,2006,FL,13710.0,21015.01938367547,
113,FLAGLER,2007,FL,15080.0,24313.087587762962,
114,FLAGLER,2008,FL,17543.0,30727.47041245048,
115,FLAGLER,2009,FL,22838.0,45094.2061172634,
116,FLAGLER,2010,FL,25664.0,54742.9390545383,
117,FLAGLER,2011,FL,27138.0,58500.27469567639,16.0
118,FLAGLER,2012,FL,27385.0,54252.2921795262,
119,FRANKLIN,2006,FL,1346.0,2174.577223000009,
120,FRANKLIN,2007,FL,1241.0,2099.0765175000056,
121,FRANKLIN,2008,FL,1407.0,2152.9779473625103,
122,FRANKLIN,2009,FL,1382.0,1955.3521200000089,
123,FRANKLIN,2010,FL,1854.0,2736.8763675000123,
124,FRANKLIN,2011,FL,1703.0,2695.184816362508,
125,FRANKLIN,2012,FL,1678.0,2741.9306925000096,
126,GADSDEN,2006,FL,5176.0,6021.017100225093,
127,GADSDEN,2007,FL,5553.0,7138.511467500114,
128,GADSDEN,2008,FL,5676.0,6724.820623500107,
129,GADSDEN,2009,FL,5920.0,7168.381856812628,
130,GADSDEN,2010,FL,6329.0,8384.369197500151,
131,GADSDEN,2011,FL,6840.0,10053.993885000134,
132,GADSDEN,2012,FL,6238.0,8671.229358862623,
133,GILCHRIST,2006,FL,1812.0,4032.605950000007,
134,GILCHRIST,2007,FL,1798.0,4195.956289500011,
135,GILCHRIST,2008,FL,2180.0,4955.8422,
136,GILCHRIST,2009,FL,2733.0,6117.87199136251,
137,GILCHRIST,2010,FL,2748.0,5760.958282725,
138,GILCHRIST,2011,FL,2977.0,5709.07000500002,
139,GILCHRIST,2012,FL,2826.0,5469.281212500022,
140,GLADES,2009,FL,797.0,2627.311200000001,
141,GLADES,2010,FL,1859.0,6489.442050000003,
142,GLADES,2011,FL,1268.0,4646.4681000000055,
143,GLADES,2012,FL,484.0,1898.2095000000022,
144,GULF,2006,FL,1917.0,3543.3416160000033,
145,GULF,2007,FL,2261.0,3813.9477660000057,
146,GULF,2008,FL,2219.0,3573.714215000012,
147,GULF,2009,FL,2370.0,3494.621707500005,
148,GULF,2010,FL,2762.0,4311.71625000002,
149,GULF,2011,FL,2569.0,3866.418202500016,
150,GULF,2012,FL,3248.0,4012.6529025000223,
151,HAMILTON,2006,FL,1219.0,1804.8995505000073,
152,HAMILTON,2007,FL,1395.0,2249.3530935000053,
153,HAMILTON,2008,FL,1773.0,3039.991791000008,
154,HAMILTON,2009,FL,1430.0,2305.1553525000054,
155,HAMILTON,2010,FL,1921.0,3470.6828288625106,
156,HAMILTON,2011,FL,1812.0,3033.594877500013,
157,HAMILTON,2012,FL,1360.0,2549.6674875000076,
158,HARDEE,2006,FL,2837.0,3682.5681049999953,
159,HARDEE,2007,FL,3019.0,3996.159572499998,
160,HARDEE,2008,FL,3329.0,4647.926044500018,
161,HARDEE,2009,FL,3960.0,7751.621392500056,
162,HARDEE,2010,FL,4379.0,8867.193390000095,
163,HARDEE,2011,FL,4573.0,9282.533205000105,
164,HARDEE,2012,FL,4096.0,7940.830061362598,
165,HENDRY,2006,FL,9276.0,16527.160282500317,
166,HENDRY,2007,FL,9806.0,19191.329012087892,
167,HENDRY,2008,FL,10517.0,20998.036911000414,
168,HENDRY,2009,FL,11019.0,22472.576881575413,
169,HENDRY,2010,FL,12672.0,27617.015310000446,
170,HENDRY,2011,FL,12171.0,26953.096248862927,
171,HENDRY,2012,FL,10295.0,19653.150187500432,
172,HERNANDO,2006,FL,53912.0,78727.92757445497,25.0
173,HERNANDO,2007,FL,64728.0,111241.43089612249,36.0
174,HERNANDO,2008,FL,85515.0,197158.77536772224,45.0
175,HERNANDO,2009,FL,98080.0,245050.01594727513,43.0
176,HERNANDO,2010,FL,122381.0,331289.8299954519,5.0
177,HERNANDO,2011,FL,101849.0,239292.42987068725,33.0
178,HERNANDO,2012,FL,82000.0,163153.66029019607,25.0
179,HIGHLANDS,2006,FL,16275.0,22995.715222501018,
180,HIGHLANDS,2007,FL,16112.0,24466.187287941113,
181,HIGHLANDS,2008,FL,17536.0,28613.962263501002,
182,HIGHLANDS,2009,FL,18859.0,33721.28850067624,
183,HIGHLANDS,2010,FL,23446.0,45729.84357431389,
184,HIGHLANDS,2011,FL,26451.0,54161.62926453876,17.0
185,HIGHLANDS,2012,FL,22165.0,41042.59796340114,11.0
186,HILLSBOROUGH,2006,FL,628041.0,1027723.7849867414,185.0
187,HILLSBOROUGH,2007,FL,464509.0,1189548.966784732,257.0
188,HILLSBOROUGH,2008,FL,536053.0,1507903.6186250553,244.0
189,HILLSBOROUGH,2009,FL,704001.0,2124149.0308500133,270.0
190,HILLSBOROUGH,2010,FL,886454.0,2801560.6110086474,259.0
191,HILLSBOROUGH,2011,FL,598107.0,1533314.54995062,242.0
192,HILLSBOROUGH,2012,FL,409951.0,855609.6664839308,41.0
193,HOLMES,2006,FL,2984.0,5115.280070000033,
194,HOLMES,2007,FL,3544.0,5388.6306392250335,
195,HOLMES,2008,FL,3711.0,5350.438789587534,
196,HOLMES,2009,FL,2688.0,5461.291740450045,
197,HOLMES,2010,FL,2432.0,5004.425704087547,
198,HOLMES,2011,FL,2596.0,5188.443866362564,
199,HOLMES,2012,FL,2881.0,5462.597160000079,
200,INDIAN RIVER,2006,FL,27910.0,43237.35108176451,23.0
201,INDIAN RIVER,2007,FL,31128.0,51702.13878888993,22.0
202,INDIAN RIVER,2008,FL,36729.0,64186.80297262764,29.0
203,INDIAN RIVER,2009,FL,43357.0,79226.07711930283,31.0
204,INDIAN RIVER,2010,FL,51159.0,111822.90470929068,18.0
205,INDIAN RIVER,2011,FL,60802.0,141158.72960861557,25.0
206,INDIAN RIVER,2012,FL,48519.0,98923.32428561535,17.0
207,JACKSON,2006,FL,7130.0,9866.87533750018,
208,JACKSON,2007,FL,8327.0,11355.73454750023,
209,JACKSON,2008,FL,8860.0,12130.103321500199,
210,JACKSON,2009,FL,9270.0,13341.586837500203,
211,JACKSON,2010,FL,10389.0,14859.5648250002,
212,JACKSON,2011,FL,10552.0,16484.638485000258,
213,JACKSON,2012,FL,11804.0,17427.980370000343,
214,JEFFERSON,2006,FL,1565.0,1465.4849204999978,
215,JEFFERSON,2007,FL,1740.0,1732.0343369999987,
216,JEFFERSON,2008,FL,1791.0,2123.4259035000014,
217,JEFFERSON,2009,FL,2016.0,2413.278483862504,
218,JEFFERSON,2010,FL,1944.0,2637.125017499998,
219,JEFFERSON,2011,FL,2100.0,2823.4519350000014,
220,JEFFERSON,2012,FL,1991.0,2213.915520000002,
221,LAFAYETTE,2006,FL,765.0,1215.7013750000024,
222,LAFAYETTE,2007,FL,861.0,1355.7724875000035,
223,LAFAYETTE,2008,FL,772.0,1361.0927500000043,
224,LAFAYETTE,2009,FL,898.0,1257.6621750000022,
225,LAFAYETTE,2010,FL,829.0,1363.4092875000038,
226,LAFAYETTE,2011,FL,875.0,1307.1051675000037,
227,LAFAYETTE,2012,FL,1145.0,1295.000272500003,
228,LAKE,2006,FL,44458.0,64563.419322430826,16.0
229,LAKE,2007,FL,52090.0,82180.0273315835,2.0
230,LAKE,2008,FL,60587.0,103711.04927071046,24.0
231,LAKE,2009,FL,73652.0,140752.4985708866,32.0
232,LAKE,2010,FL,85573.0,177229.26266112374,34.0
233,LAKE,2011,FL,89175.0,179071.4653870261,38.0
234,LAKE,2012,FL,84770.0,156520.69777519707,26.0
235,LEE,2006,FL,143559.0,309886.7067442962,98.0
236,LEE,2007,FL,143259.0,295673.26356948045,98.0
